DEPTH,ALCDLC,ALDD,DGDD,DGRCC,R09PC,R15PC,R27PC,R39PC,ROPA,TNDD,TNPL,TNPS,ALCDLC_TR,ALDD_TR,DGDD_TR,DGRCC_TR,R09PC_TR,R15PC_TR,R27PC_TR,R39PC_TR,ROPA_TR,TNDD_TR,TNPL_TR,TNPS_TR,ALCDLC_TR_TR,ALDD_TR_TR,DGDD_TR_TR,DGRCC_TR_TR,R09PC_TR_TR,R15PC_TR_TR,R27PC_TR_TR,R39PC_TR_TR,ROPA_TR_TR,TNDD_TR_TR,TNPL_TR_TR,TNPS_TR_TR,MISSING_FLAG
1546.098,2.3956,125.4369,15.9143,90.7631,1.3833,1.5185,1.6069,1.1858,173.5304,126.6723,0.263408,0.302508,,,,,,,,,,,,,,,,,,,,,,,,,1
1546.2504,2.3754,117.2999,12.0578,86.7868,1.2776,1.3814,1.4574,1.1178,183.4333,126.1589,0.267887,0.307964,,,,,,,,,,,,,,,,,,,,,,,,,1
1546.4028,2.3664,109.1629,8.2013,76.6235,1.2065,1.2444,1.3079,1.0751,193.3362,125.6455,0.274339,0.31342,,,,,,,,,,,,,,,,,,,,,,,,,1
1546.5552,2.362,102.927,5.5687,75.0135,1.138,1.1449,1.201,1.0558,178.8292,41606448.0,0.279432,0.317827,,,,,,,,,,,,,,,,,,,,,,,,,1
1546.7076,2.3586,100.0389,5.0912,80.7225,1.1278,1.1115,1.1689,1.0859,121.3397,156476080.0,0.281912,0.320388,,,,,,,,,,,,,,,,,,,,,,,,,1
1546.86,2.3636,97.1508,4.6136,76.0116,1.1251,1.078,1.1368,1.101,63.8501,271345696.0,0.283174,0.322948,,,,,,,,,,,,,,,,,,,,,,,,,1
1547.0124,2.3664,97.1604,4.2303,71.8166,1.0505,1.0469,1.1059,1.041,10.882,372263136.0,0.285158,0.325397,,,,,,,,,,,,,,,,,,,,,,,,,1
1547.1648,2.3658,129.8855,4.9114,71.5607,1.0249,1.0426,1.0881,0.9977,8.9627,315655616.0,0.28661,0.326585,,,,,,,,,,,,,,,,,,,,,,,,,1
1547.3172,2.3664,162.6106,5.5925,73.1042,1.078,1.0382,1.0703,1.049,7.0434,259048128.0,0.28875,0.327774,,,,,,,,,,,,,,,,,,,,,,,,,1
1547.4696,2.3669,195.3358,6.2736,77.7855,1.0831,1.0338,1.0525,1.0333,5.1242,202440624.0,0.288652,0.328963,,,,,,,,,,,,,,,,,,,,,,,,,1
