DEPTH,DT,GR_CAL,TENS
1544.574,360.8475,103.408,307.7374
1544.7264,359.3953,97.9334,308.8386
1544.8788,343.9731,96.312,305.5029
1545.0312,327.2826,88.9423,303.778
1545.1836,310.2776,91.6796,303.6408
1545.336,304.1368,99.8074,303.3681
1545.4884,304.3223,109.1143,304.9148
1545.6408,302.5088,111.22,307.3454
1545.7932,292.6493,103.0922,311.3244
1545.9456,291.9825,93.7852,311.7556
1546.098,311.8643,95.8488,311.5399
1546.2504,328.337,103.9765,307.9477
1546.4028,346.8257,109.8092,301.8179
1546.5552,340.9927,106.2717,304.3464
1546.7076,313.893,92.3534,309.6048
1546.86,294.6888,86.9419,311.7752
1547.0124,300.1693,89.7845,307.365
1547.1648,315.6789,99.7021,300.9269
1547.3172,339.9057,105.1136,299.7794
1547.4696,353.3323,105.5768,307.855
1547.622,356.16,107.2613,315.4316
1547.7744,359.6975,109.5776,321.7324
1547.9268,365.1626,105.4294,317.8906
1548.0792,365.6707,97.5333,315.6811
1548.2316,365.1717,99.1546,309.3838
1548.384,365.0969,98.3124,308.304
1548.5364,366.609,104.7978,310.8931
