STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_RAW,GR_NORM,GR_RAW_NORM,VSH_DN
ABAB,ABB-096,1397.8128,,-14.5949,63.623,1.662,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1397.9652,,-14.691,63.623,1.668,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1398.1176,,-14.073,63.623,1.674,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1398.27,,-13.751,63.623,1.681,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1398.4224,,-13.43,63.623,1.671,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1398.5748,,-13.109,63.623,1.662,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1398.7272,,-12.787,63.623,1.652,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1398.8796,,-13.21,63.623,1.643,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1399.032,,-13.632,63.623,1.633,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1399.1844,,-14.055,63.623,1.615,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1399.3368,,-14.2391,63.623,1.596,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1399.4892,,-14.4241,63.623,1.577,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1399.6416,,-14.6081,63.623,1.559,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1399.794,,-14.0361,63.623,1.54,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1399.9464,,-13.4641,63.623,1.521,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1400.0988,,-12.8921,63.623,1.503,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1400.2512,,-12.7271,63.623,1.516,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1400.4036,,-12.5611,63.623,1.53,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1400.556,,-12.3952,63.623,1.544,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1400.7084,,-12.2302,63.623,1.557,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1400.8608,,-12.4942,63.623,1.604,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1401.0132,,-12.7572,63.623,1.651,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1401.1656,,-13.0212,63.623,1.697,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1401.318,,-13.2852,63.623,1.744,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1401.4704,,-13.3562,63.623,1.791,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1401.6228,,-13.4282,63.623,1.837,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1401.7752,,-13.2302,63.623,1.848,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1401.9276,,-13.0313,63.623,1.858,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1402.08,,-12.8333,63.623,1.868,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1402.2324,,-12.6353,63.623,1.878,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1402.3848,,-12.5023,63.623,1.833,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1402.5372,,-12.3683,63.623,1.787,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1402.6896,,-12.2343,63.623,1.741,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1402.842,,-12.1013,63.623,1.696,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1402.9944,,-11.9673,63.623,1.65,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1403.1468,,-11.6754,63.623,1.608,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1403.2992,,-11.3844,63.623,1.567,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1403.4516,,-11.0934,63.623,1.525,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1403.604,,-10.8014,63.623,1.501,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1403.7564,,-10.5104,63.623,1.477,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1403.9088,,-10.2184,63.623,1.511,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1404.0612,,-9.9114,63.623,1.545,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1404.2136,,-9.6044,63.623,1.58,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1404.366,,-9.2974,63.623,1.614,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1404.5184,,-8.9915,63.623,1.603,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1404.6708,,-8.6835,63.623,1.592,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1404.8232,,-8.5525,63.623,1.582,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1404.9756,,-8.4205,63.623,1.571,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1405.128,,-8.2885,63.623,1.56,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1405.2804,,-8.1575,63.623,1.522,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1405.4328,,-8.0255,63.623,1.484,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1405.5852,,-8.2945,63.623,1.446,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1405.7376,,-8.5636,63.623,1.408,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1405.89,,-8.8326,63.623,1.369,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
