STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_SM
ABAB,ABB-064,1436.37,10.632,-2.175,66.56792,0.831,0.3558,2.48,GUF,66.735984
ABAB,ABB-064,1436.5224,10.57,-1.944,67.18936,0.82,0.3453,2.494,GUF,67.274464
ABAB,ABB-064,1436.6748,10.557,-1.713,67.88272,0.808,0.3497,2.501,GUF,67.92846399999999
ABAB,ABB-064,1436.8272,10.555,-1.482,68.63096,0.797,0.3635,2.508,GUF,68.602144
ABAB,ABB-064,1436.9796,10.553,-1.251,69.37136000000001,0.786,0.3589,2.521,GUF,69.22583999999999
ABAB,ABB-064,1437.132,10.535,-1.019,69.93632,0.774,0.3543,2.529,GUF,69.73679200000001
ABAB,ABB-064,1437.2844,10.516,-0.788,70.30784,0.763,0.3494,2.52,GUF,70.07273599999999
ABAB,ABB-064,1437.4368,10.502,-1.148,70.43748000000001,0.739,0.3514,2.493,GUF,70.19110400000001
ABAB,ABB-064,1437.5892,10.488,-1.507,70.31068000000002,0.716,0.358,2.486,GUF,70.139672
ABAB,ABB-064,1437.7416,10.493,-1.867,69.9632,0.692,0.361,2.469,GUF,70.01881600000002
ABAB,ABB-064,1437.894,10.497,-2.226,69.67916,0.69,0.3531,2.48,GUF,69.972376
ABAB,ABB-064,1438.0464,10.504,-2.16,69.70356000000001,0.688,0.3518,2.473,GUF,70.15117599999999
ABAB,ABB-064,1438.1988,10.51,-2.095,70.20527999999999,0.686,0.3738,2.478,GUF,70.704504
ABAB,ABB-064,1438.3512,10.495,-2.029,71.20468,0.683,0.3886,2.484,GUF,71.634264
ABAB,ABB-064,1438.5036,10.479,-1.932,72.72984,0.681,0.3745,2.487,GUF,72.79740799999999
ABAB,ABB-064,1438.656,10.466,-1.834,74.32796,0.679,0.3647,2.492,GUF,73.95488
ABAB,ABB-064,1438.8084,10.501,-1.736,75.51928,0.677,0.3686,2.491,GUF,74.841584
ABAB,ABB-064,1438.9608,10.536,-1.638,75.99264,0.675,0.3598,2.476,GUF,75.15613599999999
ABAB,ABB-064,1439.1132,10.571,-1.541,75.6382,0.673,0.3567,2.446,GUF,74.764864
ABAB,ABB-064,1439.2656,10.606,-1.564,74.30260000000001,0.671,0.3599,2.431,GUF,73.745432
ABAB,ABB-064,1439.418,10.601,-1.587,72.37159999999999,0.669,0.3764,2.417,GUF,72.3058
ABAB,ABB-064,1439.5704,10.59,-1.61,70.42212,0.663,0.3886,2.409,GUF,70.714768
ABAB,ABB-064,1439.7228,10.595,-1.633,68.79448,0.648,0.3754,2.404,GUF,69.32652800000001
ABAB,ABB-064,1439.8752,10.6,-1.656,67.68304,0.633,0.3687,2.4,GUF,68.39027200000001
ABAB,ABB-064,1440.0276,10.631,-1.679,67.3614,0.619,0.3743,2.414,GUF,67.95328800000001
ABAB,ABB-064,1440.18,10.661,-1.702,67.69032000000001,0.604,0.3773,2.426,GUF,67.95063999999999
ABAB,ABB-064,1440.3324,10.678,-1.301,68.2372,0.589,0.3749,2.441,GUF,68.22391999999999
ABAB,ABB-064,1440.4848,10.694,-0.9,68.78124,0.574,0.3715,2.456,GUF,68.52383999999999
ABAB,ABB-064,1440.6372,10.711,-0.499,69.04944,0.587,0.3698,2.46,GUF,68.62836000000001
ABAB,ABB-064,1440.7896,10.707,-0.098,68.861,0.6,0.3692,2.443,GUF,68.428392
ABAB,ABB-064,1440.942,10.684,0.303,68.21292000000001,0.613,0.3657,2.446,GUF,67.86924000000002
ABAB,ABB-064,1441.0944,10.662,0.704,67.23736,0.626,0.3623,2.45,GUF,66.981936
ABAB,ABB-064,1441.2468,10.609,1.105,65.98548000000001,0.639,0.3589,2.453,GUF,65.84268
ABAB,ABB-064,1441.3992,10.542,1.506,64.61292,0.652,0.3555,2.44,GUF,64.528768
ABAB,ABB-064,1441.5516,10.475,1.674,63.16472,0.665,0.3399,2.422,GUF,63.098400000000005
ABAB,ABB-064,1441.704,10.25,1.842,61.64336000000001,0.678,0.3267,2.434,GUF,61.615128000000006
ABAB,ABB-064,1441.8564,9.937,1.556,60.08552,0.691,0.3284,2.43,GUF,60.12922400000001
ABAB,ABB-064,1442.0088,9.751,1.27,58.56912000000001,0.715,0.3329,2.42,GUF,58.663664000000004
ABAB,ABB-064,1442.1612,9.733,0.984,57.183400000000006,0.729,0.3386,2.425,GUF,57.244096
ABAB,ABB-064,1442.3136,9.739,0.698,55.83692,0.743,0.344,2.426,GUF,55.90120800000001
ABAB,ABB-064,1442.466,9.746,0.769,54.54552,0.758,0.3453,2.411,GUF,54.666104000000004
ABAB,ABB-064,1442.6184,9.735,0.839,53.371080000000006,0.772,0.3433,2.419,GUF,53.55736
ABAB,ABB-064,1442.7708,9.714,0.91,52.393600000000006,0.786,0.3417,2.426,GUF,52.634032000000005
ABAB,ABB-064,1442.9232,9.693,0.981,51.63968,0.801,0.3334,2.448,GUF,51.95956000000001
ABAB,ABB-064,1443.0756,9.672,1.052,51.22028,0.815,0.3247,2.468,GUF,51.54587200000001
ABAB,ABB-064,1443.228,9.629,1.123,51.17316,0.822,0.3298,2.49,GUF,51.332824
ABAB,ABB-064,1443.3804,9.586,1.194,51.30264,0.83,0.3204,2.475,GUF,51.225767999999995
ABAB,ABB-064,1443.5328,9.58,1.264,51.32836,0.837,0.3192,2.438,GUF,51.128159999999994
ABAB,ABB-064,1443.6852,9.578,1.049,51.1044,0.844,0.3337,2.415,GUF,50.9354
ABAB,ABB-064,1443.8376,9.576,0.833,50.73224,0.851,0.3613,2.392,GUF,50.627424
ABAB,ABB-064,1443.99,9.566,0.617,50.20936,0.859,0.347,2.399,GUF,50.303504
ABAB,ABB-064,1444.1424,9.554,0.401,49.76276,0.849,0.3377,2.405,GUF,50.114639999999994
ABAB,ABB-064,1444.2948,9.542,0.185,49.70876,0.839,0.3374,2.42,GUF,50.167832
ABAB,ABB-064,1444.4472,9.535,0.256,50.16008000000001,0.828,0.3389,2.428,GUF,50.57788
ABAB,ABB-064,1444.5996,9.529,0.328,50.9982,0.818,0.3509,2.41,GUF,51.38064800000001
ABAB,ABB-064,1444.752,9.51,0.399,52.2596,0.808,0.3685,2.392,GUF,52.49483200000001
ABAB,ABB-064,1444.9044,9.471,0.471,53.77660000000001,0.798,0.3888,2.394,GUF,53.817128000000004
ABAB,ABB-064,1445.0568,9.432,0.542,55.279680000000006,0.788,0.3959,2.396,GUF,55.28108000000001
ABAB,ABB-064,1445.2092,9.4,0.614,56.77156,0.778,0.3962,2.355,GUF,56.77564000000001
ABAB,ABB-064,1445.3616,9.368,0.685,58.31796000000001,0.768,0.3973,2.338,GUF,58.214112
ABAB,ABB-064,1445.514,9.392,0.757,59.7324,0.763,0.3936,2.321,GUF,59.56191200000001
ABAB,ABB-064,1445.6664,9.417,0.828,60.96896,0.759,0.3979,2.326,GUF,60.79961599999999
ABAB,ABB-064,1445.8188,9.441,0.944,62.01868,0.755,0.4181,2.349,GUF,61.84829599999999
